seller_id,seller_city,total_outcome,Rolling_Total
7e3dde9ffba72d5340f9aaf09b4424be,cambe,220,748.38
f114dca2828bf718548db175ebe2cfcd,cambe,139,887.38
e0a3c37054ade6478d923a6efc10f308,camboriu,219.8,219.8
f8f35af4634605e6693c17cc3ffff5a8,campanha,90,90
66fd84ee7528c0c0de85d0f44a73d5ab,campina das missoes,1438.11,1438.11
739c7d7be81f63812dea0d1b1451c651,campina grande,77.5,77.5
10264f60a8f0a4d2f30810f5c661c673,campinas,284.6,284.6
1127b7f2594683f2510f1c2c834a486b,campinas,6851.33,7135.93
1e47d8b6546eb3a77b1acddcc9406242,campinas,149.9,7285.83
252e76235acb79183cfca6e34f13337d,campinas,261.2,7547.03
27a56ff04b34c2ba34ce6ba4d3b9d616,campinas,349.29,7896.32
2eb70248d66e0e3ef83659f71b244378,campinas,42628.61,50524.93
343e716476e3748b069f980efbaa294e,campinas,922.6,51447.53
