Status,Category,location,percentage_per_category
canceled,instrumentos_musicais,belo horizonte,0.18214936247723132
canceled,instrumentos_musicais,caieiras,0.18214936247723132
canceled,instrumentos_musicais,campinas,0.7285974499089253
canceled,instrumentos_musicais,contagem,0.18214936247723132
canceled,instrumentos_musicais,olimpia,0.18214936247723132
canceled,instrumentos_musicais,porto alegre,0.18214936247723132
canceled,instrumentos_musicais,rio de janeiro,0.18214936247723132
canceled,instrumentos_musicais,sao paulo,0.18214936247723132
canceled,livros_interesse_geral,curitiba,0.18214936247723132
canceled,livros_interesse_geral,goiania,0.18214936247723132
canceled,livros_interesse_geral,monte gordo,0.18214936247723132
canceled,livros_interesse_geral,niteroi,0.18214936247723132
canceled,livros_interesse_geral,nova friburgo,0.18214936247723132
canceled,livros_interesse_geral,rio de janeiro,0.18214936247723132
canceled,livros_interesse_geral,valinhos,0.18214936247723132
canceled,malas_acessorios,guarulhos,0.18214936247723132
canceled,malas_acessorios,rio de janeiro,0.18214936247723132
canceled,malas_acessorios,sao paulo,0.18214936247723132
canceled,malas_acessorios,una,0.18214936247723132
canceled,market_place,eliseu martins,0.18214936247723132
canceled,moveis_cozinha_area_de_servico_jantar_e_jardim,rio de janeiro,0.18214936247723132
canceled,moveis_cozinha_area_de_servico_jantar_e_jardim,sao paulo,0.18214936247723132
canceled,moveis_decoracao,americana,0.18214936247723132
canceled,moveis_decoracao,belem,0.18214936247723132
canceled,moveis_decoracao,belo horizonte,0.36429872495446264
canceled,moveis_decoracao,diadema,0.18214936247723132
canceled,moveis_decoracao,fortaleza,0.18214936247723132
canceled,moveis_decoracao,itaborai,0.36429872495446264
canceled,moveis_decoracao,jundiai,0.18214936247723132
canceled,moveis_decoracao,limeira,0.18214936247723132
canceled,moveis_decoracao,rio das ostras,0.546448087431694
canceled,moveis_decoracao,rio de janeiro,0.546448087431694
canceled,moveis_decoracao,sao bernardo do campo,0.18214936247723132
canceled,moveis_decoracao,sao carlos,1.092896174863388
canceled,moveis_decoracao,sao paulo,2.185792349726776
canceled,moveis_decoracao,sao vicente,0.18214936247723132
canceled,moveis_escritorio,rio de janeiro,0.18214936247723132
canceled,moveis_sala,montes claros,0.18214936247723132
canceled,moveis_sala,vila velha,0.18214936247723132
canceled,papelaria,boa vista,0.18214936247723132
canceled,papelaria,diadema,0.18214936247723132
canceled,papelaria,governador valadares,0.18214936247723132
canceled,papelaria,itaberaba,0.18214936247723132
canceled,papelaria,nova iguacu,0.18214936247723132
canceled,papelaria,palhoca,0.18214936247723132
canceled,papelaria,rio de janeiro,0.36429872495446264
canceled,papelaria,salvador,0.18214936247723132
